name	volume	thickness	area	meancurv
Left-bankssts	3000.0	2.652	1250.0	0.096
Left-caudalanteriorcingulate	2676.0	2.42	1006.0	0.097
Left-caudalmiddlefrontal	5640.0	2.639	2037.0	0.086
Left-cuneus	3242.0	1.613	2122.0	0.13
Left-entorhinal	2781.0	3.095	720.0	0.09
Left-fusiform	11182.0	2.655	3990.0	0.104
Left-inferiorparietal	13924.0	2.37	5794.0	0.101
Left-inferiortemporal	14958.0	2.86	4782.0	0.101
Left-isthmuscingulate	2997.0	2.294	1235.0	0.107
Left-lateraloccipital	13716.0	1.987	6901.0	0.119
Left-lateralorbitofrontal	9232.0	2.719	3314.0	0.107
Left-lingual	6713.0	1.989	3462.0	0.123
Left-medialorbitofrontal	6763.0	2.496	2603.0	0.1
Left-middletemporal	13110.0	2.706	4268.0	0.102
Left-parahippocampal	2672.0	2.931	891.0	0.085
Left-paracentral	3765.0	2.435	1467.0	0.099
Left-parsopercularis	5247.0	2.911	1682.0	0.096
Left-parsorbitalis	3206.0	2.818	972.0	0.12
Left-parstriangularis	4937.0	2.697	1739.0	0.092
Left-pericalcarine	2073.0	1.563	1663.0	0.125
Left-postcentral	10421.0	2.076	4841.0	0.096
Left-posteriorcingulate	3343.0	2.328	1396.0	0.12
Left-precentral	13645.0	2.839	4681.0	0.089
Left-precuneus	11065.0	2.493	4613.0	0.103
Left-rostralanteriorcingulate	3590.0	2.621	1283.0	0.115
Left-rostralmiddlefrontal	20677.0	2.528	7905.0	0.109
Left-superiorfrontal	25314.0	2.794	8636.0	0.105
Left-superiorparietal	15301.0	2.213	6568.0	0.1
Left-superiortemporal	14895.0	2.835	4996.0	0.096
Left-supramarginal	14726.0	2.513	5698.0	0.106
Left-frontalpole	1019.0	2.388	367.0	0.142
Left-temporalpole	2886.0	3.62	619.0	0.107
Left-transversetemporal	1431.0	2.311	596.0	0.099
Left-insula	7399.0	3.22	2414.0	0.096
