name	volume	thickness	area	meancurv
Left-G_and_S_frontomargin	2060.0	2.145	906.0	0.129
Left-G_and_S_occipital_inf	2800.0	2.566	961.0	0.115
Left-G_and_S_paracentral	2923.0	2.724	908.0	0.096
Left-G_and_S_subcentral	2958.0	3.041	858.0	0.102
Left-G_and_S_transv_frontopol	1671.0	2.585	519.0	0.136
Left-G_and_S_cingul-Ant	4634.0	2.981	1403.0	0.106
Left-G_and_S_cingul-Mid-Ant	2178.0	2.943	762.0	0.094
Left-G_and_S_cingul-Mid-Post	2078.0	2.864	765.0	0.101
Left-G_cingul-Post-dorsal	1447.0	3.038	400.0	0.13
Left-G_cingul-Post-ventral	599.0	2.778	195.0	0.106
Left-G_cuneus	3119.0	2.002	1478.0	0.15
Left-G_front_inf-Opercular	2720.0	2.923	740.0	0.111
Left-G_front_inf-Orbital	1324.0	3.028	314.0	0.133
Left-G_front_inf-Triangul	2443.0	2.72	712.0	0.111
Left-G_front_middle	8088.0	2.583	2461.0	0.128
Left-G_front_sup	15625.0	3.034	4172.0	0.111
Left-G_Ins_lg_and_S_cent_ins	1348.0	3.488	397.0	0.117
Left-G_insular_short	2186.0	3.868	428.0	0.11
Left-G_occipital_middle	4458.0	2.532	1418.0	0.122
Left-G_occipital_sup	2711.0	2.485	923.0	0.122
Left-G_oc-temp_lat-fusifor	3782.0	2.989	1029.0	0.116
Left-G_oc-temp_med-Lingual	5562.0	2.15	2426.0	0.152
Left-G_oc-temp_med-Parahip	3187.0	3.299	746.0	0.077
Left-G_orbital	5825.0	2.854	1667.0	0.127
Left-G_pariet_inf-Angular	4833.0	2.954	1301.0	0.118
Left-G_pariet_inf-Supramar	5111.0	3.148	1335.0	0.114
Left-G_parietal_sup	4728.0	2.503	1572.0	0.097
Left-G_postcentral	3713.0	2.258	1387.0	0.099
Left-G_precentral	5610.0	3.141	1341.0	0.092
Left-G_precuneus	6120.0	2.681	1873.0	0.123
Left-G_rectus	1974.0	2.703	552.0	0.131
Left-G_subcallosal	934.0	2.755	370.0	0.104
Left-G_temp_sup-G_T_transv	961.0	2.589	332.0	0.119
Left-G_temp_sup-Lateral	6062.0	3.507	1244.0	0.1
Left-G_temp_sup-Plan_polar	1652.0	3.438	409.0	0.058
Left-G_temp_sup-Plan_tempo	1875.0	3.052	596.0	0.087
Left-G_temporal_inf	5063.0	2.918	1359.0	0.119
Left-G_temporal_middle	7655.0	3.253	1626.0	0.108
Left-Lat_Fis-ant-Horizont	371.0	2.443	184.0	0.068
Left-Lat_Fis-ant-Vertical	424.0	2.23	228.0	0.073
Left-Lat_Fis-post	1495.0	2.939	683.0	0.085
Left-Pole_occipital	2645.0	1.799	1468.0	0.121
Left-Pole_temporal	4510.0	3.344	1081.0	0.122
Left-S_calcarine	3235.0	2.111	1916.0	0.117
Left-S_central	3523.0	2.223	1839.0	0.08
Left-S_cingul-Marginalis	1341.0	2.563	598.0	0.076
Left-S_circular_insula_ant	787.0	3.274	297.0	0.068
Left-S_circular_insula_inf	2216.0	2.914	907.0	0.063
Left-S_circular_insula_sup	2274.0	2.943	987.0	0.083
Left-S_collat_transv_ant	1399.0	3.013	528.0	0.085
Left-S_collat_transv_post	602.0	2.255	342.0	0.1
Left-S_front_inf	2619.0	2.351	1180.0	0.101
Left-S_front_middle	1744.0	2.233	889.0	0.098
Left-S_front_sup	4862.0	2.404	2024.0	0.09
Left-S_interm_prim-Jensen	420.0	2.47	211.0	0.094
Left-S_intrapariet_and_P_trans	3285.0	2.567	1450.0	0.083
Left-S_oc_middle_and_Lunatus	1561.0	2.279	829.0	0.096
Left-S_oc_sup_and_transversal	1562.0	2.329	792.0	0.098
Left-S_occipital_ant	1458.0	2.503	665.0	0.102
Left-S_oc-temp_lat	1177.0	2.68	545.0	0.102
Left-S_oc-temp_med_and_Lingual	3170.0	2.752	1311.0	0.092
Left-S_orbital_lateral	558.0	2.005	309.0	0.121
Left-S_orbital_med-olfact	950.0	2.743	404.0	0.107
Left-S_orbital-H_Shaped	2489.0	2.989	854.0	0.106
Left-S_parieto_occipital	2865.0	2.514	1303.0	0.084
Left-S_pericallosal	1095.0	1.932	742.0	0.095
Left-S_postcentral	3227.0	2.518	1504.0	0.091
Left-S_precentral-inf-part	2470.0	2.785	1047.0	0.085
Left-S_precentral-sup-part	1361.0	2.504	650.0	0.074
Left-S_suborbital	1178.0	2.604	527.0	0.089
Left-S_subparietal	1319.0	2.453	615.0	0.093
Left-S_temporal_inf	2312.0	2.66	1069.0	0.087
Left-S_temporal_sup	9971.0	2.834	3890.0	0.079
Left-S_temporal_transverse	380.0	2.896	158.0	0.104
