name	volume	thickness	area	meancurv
Left-bankssts	4197.0	2.59	1661.0	0.069
Left-caudalanteriorcingulate	2347.0	2.774	804.0	0.1
Left-caudalmiddlefrontal	5532.0	2.737	2021.0	0.09
Left-cuneus	2369.0	1.911	1269.0	0.12
Left-entorhinal	1539.0	3.007	409.0	0.087
Left-fusiform	9907.0	2.936	3066.0	0.099
Left-inferiorparietal	13339.0	2.467	5120.0	0.099
Left-inferiortemporal	9825.0	2.948	3144.0	0.106
Left-isthmuscingulate	2648.0	2.641	916.0	0.101
Left-lateraloccipital	9597.0	2.157	4280.0	0.112
Left-lateralorbitofrontal	7987.0	2.844	2744.0	0.097
Left-lingual	6372.0	2.232	2832.0	0.12
Left-medialorbitofrontal	6324.0	2.599	2275.0	0.101
Left-middletemporal	12070.0	3.121	3342.0	0.094
Left-parahippocampal	2071.0	2.681	675.0	0.072
Left-paracentral	3920.0	2.634	1396.0	0.092
Left-parsopercularis	3855.0	2.937	1186.0	0.091
Left-parsorbitalis	2833.0	2.84	823.0	0.12
Left-parstriangularis	2610.0	2.554	1007.0	0.095
Left-pericalcarine	1603.0	1.879	1032.0	0.114
Left-postcentral	8864.0	2.241	3781.0	0.096
Left-posteriorcingulate	3440.0	2.548	1307.0	0.105
Left-precentral	13421.0	2.95	4286.0	0.086
Left-precuneus	8498.0	2.547	3323.0	0.094
Left-rostralanteriorcingulate	2849.0	2.707	945.0	0.104
Left-rostralmiddlefrontal	15609.0	2.535	5585.0	0.106
Left-superiorfrontal	24828.0	2.984	7768.0	0.096
Left-superiorparietal	12812.0	2.223	5515.0	0.103
Left-superiortemporal	15676.0	3.149	4525.0	0.089
Left-supramarginal	14104.0	2.652	5078.0	0.102
Left-frontalpole	909.0	2.449	293.0	0.139
Left-temporalpole	2549.0	3.817	512.0	0.106
Left-transversetemporal	1173.0	2.824	405.0	0.101
Left-insula	7108.0	3.282	2263.0	0.09
