name	volume	thickness	area	meancurv
Left-G_and_S_frontomargin	1997.0	2.145	860.0	0.128
Left-G_and_S_occipital_inf	3109.0	2.334	1200.0	0.106
Left-G_and_S_paracentral	3268.0	2.577	1088.0	0.104
Left-G_and_S_subcentral	3298.0	2.737	1169.0	0.117
Left-G_and_S_transv_frontopol	1665.0	2.301	657.0	0.143
Left-G_and_S_cingul-Ant	4461.0	2.808	1571.0	0.096
Left-G_and_S_cingul-Mid-Ant	2698.0	2.848	901.0	0.087
Left-G_and_S_cingul-Mid-Post	2586.0	2.591	979.0	0.096
Left-G_cingul-Post-dorsal	1377.0	3.144	358.0	0.116
Left-G_cingul-Post-ventral	567.0	2.838	155.0	0.119
Left-G_cuneus	2391.0	1.863	1238.0	0.129
Left-G_front_inf-Opercular	3471.0	2.898	933.0	0.116
Left-G_front_inf-Orbital	1321.0	2.943	326.0	0.134
Left-G_front_inf-Triangul	2241.0	2.812	654.0	0.122
Left-G_front_middle	8529.0	2.549	2777.0	0.125
Left-G_front_sup	17141.0	2.965	4877.0	0.111
Left-G_Ins_lg_and_S_cent_ins	1553.0	3.781	411.0	0.12
Left-G_insular_short	2828.0	3.837	562.0	0.112
Left-G_occipital_middle	3899.0	2.299	1537.0	0.115
Left-G_occipital_sup	2194.0	2.1	949.0	0.12
Left-G_oc-temp_lat-fusifor	4190.0	2.632	1414.0	0.124
Left-G_oc-temp_med-Lingual	4546.0	2.024	2046.0	0.129
Left-G_oc-temp_med-Parahip	4253.0	3.136	1094.0	0.089
Left-G_orbital	6767.0	3.284	1620.0	0.125
Left-G_pariet_inf-Angular	5910.0	2.788	1750.0	0.122
Left-G_pariet_inf-Supramar	7970.0	2.742	2515.0	0.12
Left-G_parietal_sup	5801.0	2.484	1928.0	0.113
Left-G_postcentral	3627.0	1.967	1674.0	0.11
Left-G_precentral	6086.0	2.88	1628.0	0.101
Left-G_precuneus	4985.0	2.596	1610.0	0.115
Left-G_rectus	2164.0	2.549	691.0	0.132
Left-G_subcallosal	1000.0	2.492	395.0	0.111
Left-G_temp_sup-G_T_transv	858.0	2.086	352.0	0.098
Left-G_temp_sup-Lateral	5709.0	3.037	1419.0	0.103
Left-G_temp_sup-Plan_polar	2307.0	3.454	588.0	0.043
Left-G_temp_sup-Plan_tempo	2028.0	2.636	755.0	0.066
Left-G_temporal_inf	5906.0	2.904	1680.0	0.11
Left-G_temporal_middle	7529.0	3.077	1777.0	0.109
Left-Lat_Fis-ant-Horizont	496.0	2.49	228.0	0.068
Left-Lat_Fis-ant-Vertical	431.0	2.631	199.0	0.089
Left-Lat_Fis-post	1488.0	2.533	793.0	0.103
Left-Pole_occipital	2414.0	1.788	1399.0	0.138
Left-Pole_temporal	5576.0	3.112	1422.0	0.123
Left-S_calcarine	2548.0	1.951	1510.0	0.105
Left-S_central	3688.0	2.25	1958.0	0.077
Left-S_cingul-Marginalis	1454.0	2.528	672.0	0.074
Left-S_circular_insula_ant	1115.0	3.084	460.0	0.078
Left-S_circular_insula_inf	2355.0	3.294	882.0	0.068
Left-S_circular_insula_sup	2597.0	2.809	1212.0	0.087
Left-S_collat_transv_ant	2192.0	2.553	1000.0	0.077
Left-S_collat_transv_post	649.0	2.371	362.0	0.112
Left-S_front_inf	2807.0	2.556	1145.0	0.093
Left-S_front_middle	1576.0	2.241	810.0	0.087
Left-S_front_sup	5166.0	2.639	2114.0	0.095
Left-S_interm_prim-Jensen	343.0	2.727	123.0	0.115
Left-S_intrapariet_and_P_trans	4646.0	2.412	2165.0	0.085
Left-S_oc_middle_and_Lunatus	1065.0	2.19	608.0	0.098
Left-S_oc_sup_and_transversal	1542.0	2.321	652.0	0.102
Left-S_occipital_ant	1277.0	2.299	540.0	0.091
Left-S_oc-temp_lat	1248.0	2.457	488.0	0.077
Left-S_oc-temp_med_and_Lingual	3512.0	2.538	1468.0	0.094
Left-S_orbital_lateral	691.0	2.588	341.0	0.111
Left-S_orbital_med-olfact	1008.0	2.768	415.0	0.109
Left-S_orbital-H_Shaped	2084.0	2.709	803.0	0.103
Left-S_parieto_occipital	3272.0	2.395	1600.0	0.094
Left-S_pericallosal	1441.0	1.683	1027.0	0.093
Left-S_postcentral	4479.0	2.334	2097.0	0.082
Left-S_precentral-inf-part	2190.0	2.812	906.0	0.071
Left-S_precentral-sup-part	2071.0	2.477	952.0	0.083
Left-S_suborbital	1109.0	2.379	526.0	0.097
Left-S_subparietal	960.0	2.392	469.0	0.091
Left-S_temporal_inf	2853.0	2.453	1363.0	0.089
Left-S_temporal_sup	8733.0	2.504	3957.0	0.091
Left-S_temporal_transverse	536.0	2.175	308.0	0.094
