name	intensity-avg	volume
Left-wm-bankssts	97.6593	3093.8
Left-wm-caudalanteriorcingulate	104.7578	2542.6
Left-wm-caudalmiddlefrontal	96.9348	6395.2
Left-wm-cuneus	88.0846	2772.9
Left-wm-entorhinal	78.9402	725.8
Left-wm-fusiform	88.8137	7012.1
Left-wm-inferiorparietal	95.2477	9218.1
Left-wm-inferiortemporal	91.1249	7123.1
Left-wm-isthmuscingulate	99.8146	4063.0
Left-wm-lateraloccipital	91.6686	11319.4
Left-wm-lateralorbitofrontal	95.7738	6916.7
Left-wm-lingual	82.4304	6298.1
Left-wm-medialorbitofrontal	94.4939	4195.1
Left-wm-middletemporal	91.7365	5817.8
Left-wm-parahippocampal	83.6563	1351.7
Left-wm-paracentral	94.8894	4050.5
Left-wm-parsopercularis	95.492	3635.4
Left-wm-parsorbitalis	83.7454	1176.8
Left-wm-parstriangularis	96.153	3595.1
Left-wm-pericalcarine	89.0014	3974.6
Left-wm-postcentral	93.8217	8506.0
Left-wm-posteriorcingulate	100.9513	4003.3
Left-wm-precentral	97.1953	13130.5
Left-wm-precuneus	97.0598	9760.2
Left-wm-rostralanteriorcingulate	101.8375	2303.3
Left-wm-rostralmiddlefrontal	95.6296	12427.6
Left-wm-superiorfrontal	92.6147	18229.3
Left-wm-superiorparietal	97.0005	12178.6
Left-wm-superiortemporal	93.4855	7837.1
Left-wm-supramarginal	98.9439	7862.7
Left-wm-frontalpole	92.2281	376.1
Left-wm-temporalpole	78.0167	853.3
Left-wm-transversetemporal	92.7103	758.4
Left-wm-insula	93.4199	9912.9
Right-wm-bankssts	95.8936	3227.5
Right-wm-caudalanteriorcingulate	102.3105	2507.6
Right-wm-caudalmiddlefrontal	95.6558	4966.8
Right-wm-cuneus	91.3676	3668.3
Right-wm-entorhinal	80.5513	774.0
Right-wm-fusiform	88.494	6548.5
Right-wm-inferiorparietal	94.9246	9688.1
Right-wm-inferiortemporal	90.8023	6833.3
Right-wm-isthmuscingulate	98.4978	3486.7
Right-wm-lateraloccipital	92.3587	10649.9
Right-wm-lateralorbitofrontal	95.6278	6890.4
Right-wm-lingual	84.5673	7180.8
Right-wm-medialorbitofrontal	92.8212	4303.7
Right-wm-middletemporal	91.0277	6863.6
Right-wm-parahippocampal	85.0637	1395.7
Right-wm-paracentral	97.4155	4525.4
Right-wm-parsopercularis	98.7037	3343.9
Right-wm-parsorbitalis	90.402	1415.4
Right-wm-parstriangularis	96.202	3770.3
Right-wm-pericalcarine	87.6154	4183.7
Right-wm-postcentral	92.8309	7451.2
Right-wm-posteriorcingulate	100.6484	4044.8
Right-wm-precentral	95.6714	12540.7
Right-wm-precuneus	96.933	9795.8
Right-wm-rostralanteriorcingulate	103.5649	1961.5
Right-wm-rostralmiddlefrontal	96.8112	12318.7
Right-wm-superiorfrontal	92.6465	18024.3
Right-wm-superiorparietal	95.2769	12511.3
Right-wm-superiortemporal	92.2154	7028.2
Right-wm-supramarginal	98.3058	7431.9
Right-wm-frontalpole	86.4122	464.6
Right-wm-temporalpole	80.6161	713.3
Right-wm-transversetemporal	91.6264	610.1
Right-wm-insula	94.0227	9172.3
Left-UnsegmentedWhiteMatter	99.8504	30576.3
Right-UnsegmentedWhiteMatter	100.9589	29624.6
