name	volume	thickness	area	meancurv
Left-G_and_S_frontomargin	2374.0	2.519	923.0	0.129
Left-G_and_S_occipital_inf	4820.0	2.361	1894.0	0.114
Left-G_and_S_paracentral	2604.0	2.243	997.0	0.09
Left-G_and_S_subcentral	2788.0	2.603	1007.0	0.11
Left-G_and_S_transv_frontopol	1747.0	2.461	577.0	0.139
Left-G_and_S_cingul-Ant	4569.0	2.98	1571.0	0.107
Left-G_and_S_cingul-Mid-Ant	2883.0	2.566	1168.0	0.098
Left-G_and_S_cingul-Mid-Post	2720.0	2.452	1130.0	0.101
Left-G_cingul-Post-dorsal	1286.0	2.984	347.0	0.132
Left-G_cingul-Post-ventral	784.0	3.076	236.0	0.091
Left-G_cuneus	2723.0	1.837	1348.0	0.122
Left-G_front_inf-Opercular	3631.0	2.891	1002.0	0.114
Left-G_front_inf-Orbital	943.0	2.722	264.0	0.133
Left-G_front_inf-Triangul	3083.0	2.649	928.0	0.105
Left-G_front_middle	11224.0	2.508	3752.0	0.123
Left-G_front_sup	16723.0	2.647	5384.0	0.115
Left-G_Ins_lg_and_S_cent_ins	1725.0	3.681	442.0	0.106
Left-G_insular_short	2548.0	3.977	488.0	0.119
Left-G_occipital_middle	5418.0	2.333	1981.0	0.127
Left-G_occipital_sup	2484.0	2.272	986.0	0.122
Left-G_oc-temp_lat-fusifor	4827.0	2.887	1480.0	0.131
Left-G_oc-temp_med-Lingual	4055.0	1.831	2057.0	0.141
Left-G_oc-temp_med-Parahip	4032.0	3.234	987.0	0.089
Left-G_orbital	6762.0	2.988	1848.0	0.115
Left-G_pariet_inf-Angular	4364.0	2.537	1457.0	0.116
Left-G_pariet_inf-Supramar	6878.0	2.597	2266.0	0.117
Left-G_parietal_sup	4883.0	2.225	1824.0	0.096
Left-G_postcentral	4022.0	2.273	1450.0	0.101
Left-G_precentral	5334.0	2.642	1627.0	0.089
Left-G_precuneus	6452.0	2.641	2001.0	0.117
Left-G_rectus	2549.0	2.762	749.0	0.12
Left-G_subcallosal	1295.0	2.802	469.0	0.112
Left-G_temp_sup-G_T_transv	1257.0	2.282	479.0	0.088
Left-G_temp_sup-Lateral	7242.0	3.26	1716.0	0.124
Left-G_temp_sup-Plan_polar	2358.0	3.784	533.0	0.064
Left-G_temp_sup-Plan_tempo	1453.0	2.364	582.0	0.054
Left-G_temporal_inf	6166.0	2.922	1649.0	0.119
Left-G_temporal_middle	7108.0	2.923	1822.0	0.111
Left-Lat_Fis-ant-Horizont	379.0	2.476	184.0	0.079
Left-Lat_Fis-ant-Vertical	589.0	2.421	279.0	0.063
Left-Lat_Fis-post	1339.0	2.573	687.0	0.102
Left-Pole_occipital	3351.0	1.909	1648.0	0.13
Left-Pole_temporal	5163.0	3.178	1322.0	0.121
Left-S_calcarine	3043.0	1.947	1869.0	0.097
Left-S_central	3622.0	2.04	2055.0	0.075
Left-S_cingul-Marginalis	1545.0	2.256	796.0	0.062
Left-S_circular_insula_ant	964.0	2.992	394.0	0.09
Left-S_circular_insula_inf	2769.0	3.308	1017.0	0.061
Left-S_circular_insula_sup	2313.0	2.867	1027.0	0.083
Left-S_collat_transv_ant	1978.0	2.968	773.0	0.073
Left-S_collat_transv_post	826.0	2.122	469.0	0.111
Left-S_front_inf	4026.0	2.376	1831.0	0.098
Left-S_front_middle	2567.0	2.31	1366.0	0.101
Left-S_front_sup	4906.0	2.459	2128.0	0.089
Left-S_interm_prim-Jensen	468.0	2.668	191.0	0.061
Left-S_intrapariet_and_P_trans	3203.0	2.075	1777.0	0.089
Left-S_oc_middle_and_Lunatus	1513.0	2.06	886.0	0.094
Left-S_oc_sup_and_transversal	1326.0	2.289	661.0	0.088
Left-S_occipital_ant	1445.0	2.312	769.0	0.097
Left-S_oc-temp_lat	1380.0	2.457	653.0	0.107
Left-S_oc-temp_med_and_Lingual	4512.0	2.489	1851.0	0.093
Left-S_orbital_lateral	727.0	2.425	363.0	0.093
Left-S_orbital_med-olfact	965.0	2.465	487.0	0.099
Left-S_orbital-H_Shaped	2580.0	2.886	966.0	0.104
Left-S_parieto_occipital	3307.0	2.386	1623.0	0.098
Left-S_pericallosal	1621.0	2.038	929.0	0.107
Left-S_postcentral	3705.0	2.178	1990.0	0.092
Left-S_precentral-inf-part	2459.0	2.463	1181.0	0.085
Left-S_precentral-sup-part	1663.0	2.366	782.0	0.073
Left-S_suborbital	1109.0	2.655	519.0	0.108
Left-S_subparietal	1622.0	2.289	851.0	0.098
Left-S_temporal_inf	2012.0	2.493	984.0	0.101
Left-S_temporal_sup	9454.0	2.485	4237.0	0.092
Left-S_temporal_transverse	522.0	2.013	319.0	0.097
