name	volume	thickness	area	meancurv
Left-G_and_S_frontomargin	2078.0	2.113	989.0	0.146
Left-G_and_S_occipital_inf	3532.0	2.474	1330.0	0.125
Left-G_and_S_paracentral	3691.0	2.494	1251.0	0.093
Left-G_and_S_subcentral	4023.0	2.781	1311.0	0.11
Left-G_and_S_transv_frontopol	1556.0	2.16	624.0	0.148
Left-G_and_S_cingul-Ant	4442.0	2.631	1713.0	0.109
Left-G_and_S_cingul-Mid-Ant	2319.0	2.822	879.0	0.085
Left-G_and_S_cingul-Mid-Post	2328.0	2.756	882.0	0.084
Left-G_cingul-Post-dorsal	1629.0	2.799	472.0	0.13
Left-G_cingul-Post-ventral	519.0	2.325	196.0	0.131
Left-G_cuneus	2837.0	1.86	1417.0	0.149
Left-G_front_inf-Opercular	3488.0	2.862	965.0	0.1
Left-G_front_inf-Orbital	1155.0	2.599	359.0	0.121
Left-G_front_inf-Triangul	2945.0	2.695	911.0	0.118
Left-G_front_middle	10329.0	2.419	3507.0	0.129
Left-G_front_sup	19181.0	2.787	6135.0	0.115
Left-G_Ins_lg_and_S_cent_ins	1731.0	3.441	490.0	0.102
Left-G_insular_short	2587.0	3.786	570.0	0.12
Left-G_occipital_middle	4570.0	2.566	1467.0	0.121
Left-G_occipital_sup	2723.0	2.186	1172.0	0.125
Left-G_oc-temp_lat-fusifor	4594.0	2.98	1240.0	0.107
Left-G_oc-temp_med-Lingual	4328.0	1.949	2010.0	0.147
Left-G_oc-temp_med-Parahip	2962.0	3.139	705.0	0.069
Left-G_orbital	6240.0	2.945	1734.0	0.127
Left-G_pariet_inf-Angular	5521.0	2.656	1691.0	0.115
Left-G_pariet_inf-Supramar	7392.0	2.684	2339.0	0.107
Left-G_parietal_sup	5644.0	2.483	1979.0	0.107
Left-G_postcentral	4423.0	2.176	1792.0	0.11
Left-G_precentral	6371.0	2.93	1719.0	0.087
Left-G_precuneus	5840.0	2.631	1805.0	0.116
Left-G_rectus	2138.0	2.68	623.0	0.113
Left-G_subcallosal	1197.0	2.934	390.0	0.134
Left-G_temp_sup-G_T_transv	1357.0	2.655	402.0	0.084
Left-G_temp_sup-Lateral	5220.0	2.98	1374.0	0.107
Left-G_temp_sup-Plan_polar	2623.0	3.55	622.0	0.081
Left-G_temp_sup-Plan_tempo	2364.0	2.846	784.0	0.093
Left-G_temporal_inf	6659.0	2.847	1880.0	0.12
Left-G_temporal_middle	7546.0	2.962	2003.0	0.116
Left-Lat_Fis-ant-Horizont	418.0	2.439	197.0	0.107
Left-Lat_Fis-ant-Vertical	533.0	2.591	272.0	0.091
Left-Lat_Fis-post	2057.0	2.791	985.0	0.086
Left-Pole_occipital	2646.0	1.869	1421.0	0.134
Left-Pole_temporal	4250.0	3.357	1081.0	0.131
Left-S_calcarine	2574.0	2.042	1579.0	0.1
Left-S_central	3365.0	2.084	1883.0	0.076
Left-S_cingul-Marginalis	1450.0	2.187	727.0	0.097
Left-S_circular_insula_ant	872.0	3.181	337.0	0.071
Left-S_circular_insula_inf	2483.0	3.143	993.0	0.068
Left-S_circular_insula_sup	3133.0	2.853	1404.0	0.085
Left-S_collat_transv_ant	1760.0	2.923	703.0	0.1
Left-S_collat_transv_post	625.0	2.403	317.0	0.117
Left-S_front_inf	3024.0	2.292	1409.0	0.099
Left-S_front_middle	2279.0	2.124	1276.0	0.109
Left-S_front_sup	4527.0	2.401	2137.0	0.085
Left-S_interm_prim-Jensen	480.0	2.775	209.0	0.112
Left-S_intrapariet_and_P_trans	3920.0	2.267	2023.0	0.089
Left-S_oc_middle_and_Lunatus	1284.0	2.133	731.0	0.098
Left-S_oc_sup_and_transversal	1703.0	2.274	853.0	0.08
Left-S_occipital_ant	846.0	2.374	447.0	0.114
Left-S_oc-temp_lat	1389.0	2.646	631.0	0.093
Left-S_oc-temp_med_and_Lingual	3220.0	2.479	1539.0	0.077
Left-S_orbital_lateral	750.0	2.044	395.0	0.105
Left-S_orbital_med-olfact	1072.0	2.684	464.0	0.096
Left-S_orbital-H_Shaped	2306.0	2.745	877.0	0.113
Left-S_parieto_occipital	2978.0	2.401	1448.0	0.098
Left-S_pericallosal	1089.0	1.576	867.0	0.094
Left-S_postcentral	5592.0	2.244	2733.0	0.087
Left-S_precentral-inf-part	2697.0	2.53	1219.0	0.08
Left-S_precentral-sup-part	2509.0	2.518	1148.0	0.083
Left-S_suborbital	1302.0	2.707	542.0	0.108
Left-S_subparietal	1423.0	2.318	728.0	0.112
Left-S_temporal_inf	2458.0	2.321	1286.0	0.102
Left-S_temporal_sup	9808.0	2.608	4178.0	0.084
Left-S_temporal_transverse	661.0	2.603	318.0	0.087
