name	volume	thickness	area	meancurv
Left-bankssts	2804.0	2.732	1131.0	0.087
Left-caudalanteriorcingulate	1254.0	2.417	487.0	0.103
Left-caudalmiddlefrontal	7300.0	2.741	2511.0	0.096
Left-cuneus	3057.0	1.888	1624.0	0.118
Left-entorhinal	1950.0	3.587	396.0	0.062
Left-fusiform	9858.0	2.951	3009.0	0.103
Left-inferiorparietal	11502.0	2.467	4585.0	0.104
Left-inferiortemporal	9243.0	2.738	3229.0	0.094
Left-isthmuscingulate	2946.0	2.451	1136.0	0.104
Left-lateraloccipital	12458.0	2.125	5666.0	0.122
Left-lateralorbitofrontal	7232.0	2.944	2415.0	0.107
Left-lingual	6304.0	2.125	3089.0	0.119
Left-medialorbitofrontal	5262.0	2.651	1872.0	0.103
Left-middletemporal	12537.0	3.087	3436.0	0.103
Left-parahippocampal	2256.0	3.021	659.0	0.063
Left-paracentral	3576.0	2.68	1201.0	0.081
Left-parsopercularis	4820.0	2.651	1697.0	0.085
Left-parsorbitalis	1815.0	2.429	614.0	0.123
Left-parstriangularis	3807.0	2.615	1331.0	0.111
Left-pericalcarine	1690.0	1.649	1191.0	0.1
Left-postcentral	8186.0	2.1	3577.0	0.086
Left-posteriorcingulate	3169.0	2.466	1198.0	0.118
Left-precentral	14224.0	2.869	4593.0	0.081
Left-precuneus	10134.0	2.506	4031.0	0.103
Left-rostralanteriorcingulate	2529.0	2.834	785.0	0.109
Left-rostralmiddlefrontal	12329.0	2.372	4957.0	0.104
Left-superiorfrontal	21967.0	2.778	7297.0	0.104
Left-superiorparietal	12588.0	2.288	5248.0	0.091
Left-superiortemporal	11861.0	2.865	3860.0	0.08
Left-supramarginal	11786.0	2.683	4193.0	0.104
Left-frontalpole	927.0	2.58	287.0	0.136
Left-temporalpole	2046.0	3.588	471.0	0.115
Left-transversetemporal	1093.0	2.306	458.0	0.103
Left-insula	7023.0	3.429	2065.0	0.095
